Gen;	BestValidFit;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
75000;	0.174763;	47 0.140821 0.181456;	40 0.142797 0.179562;	51 0.143625 0.202708;	54 0.143917 0.202708;	
77500;	0.174763;	53 0.137447 0.175514;	51 0.139094 0.202708;	39 0.139768 0.202708;	41 0.140432 0.202708;	
80000;	0.174763;	53 0.137447 0.175514;	51 0.139094 0.202708;	44 0.139457 0.202708;	39 0.139768 0.202708;	
82500;	0.174763;	49 0.136449 0.178157;	51 0.137187 0.180426;	45 0.137447 0.175514;	49 0.137702 0.202708;	
85000;	0.174763;	49 0.136449 0.178157;	51 0.137187 0.180426;	50 0.137435 0.202708;	45 0.137447 0.175514;	
87500;	0.174763;	46 0.136449 0.178157;	51 0.137187 0.180426;	50 0.137435 0.202708;	45 0.137447 0.175514;	
90000;	0.174763;	47 0.13615 0.177797;	46 0.136449 0.178157;	51 0.137187 0.180426;	50 0.137435 0.202708;	
92500;	0.174763;	47 0.13615 0.177797;	44 0.136437 0.202708;	43 0.136449 0.202708;	51 0.137187 0.180426;	
95000;	0.174763;	46 0.13615 0.177797;	44 0.136437 0.202708;	43 0.136449 0.202708;	44 0.136848 0.180426;	
97500;	0.174763;	42 0.13615 0.177797;	44 0.136437 0.202708;	43 0.136449 0.202708;	47 0.136479 0.180426;	
100000;	0.174763;	47 0.135567 0.175441;	42 0.13615 0.177797;	44 0.136437 0.202708;	40 0.136449 0.180426;	
102500;	0.174763;	47 0.135567 0.175441;	53 0.136067 0.202708;	49 0.136131 0.180426;	37 0.13615 0.180426;	
105000;	0.167484;	51 0.134689 0.167484;	55 0.13542 0.202708;	47 0.135567 0.175441;	50 0.13601 0.180426;	
107500;	0.167484;	51 0.134689 0.167484;	49 0.135389 0.202708;	55 0.13542 0.202708;	47 0.135567 0.175441;	
110000;	0.167484;	50 0.134668 0.168162;	51 0.134689 0.167484;	49 0.135389 0.202708;	49 0.13542 0.180426;	
112500;	0.167484;	51 0.134118 0.174548;	56 0.134589 0.175441;	46 0.134668 0.180426;	51 0.134689 0.167484;	
115000;	0.167484;	51 0.134118 0.174548;	48 0.134291 0.167484;	56 0.134589 0.175441;	46 0.134668 0.180426;	
117500;	0.167484;	50 0.133845 0.169604;	52 0.134031 0.202708;	48 0.134118 0.174548;	48 0.134291 0.167484;	
120000;	0.167484;	50 0.133836 0.170345;	50 0.133845 0.169604;	45 0.134031 0.167484;	47 0.134118 0.167484;	
122500;	0.167484;	51 0.133546 0.17034;	54 0.133655 0.167484;	47 0.133773 0.170071;	50 0.133836 0.170345;	
125000;	0.167484;	65 0.131681 0.170191;	59 0.133527 0.1711;	51 0.133546 0.17034;	54 0.133655 0.167484;	
127500;	0.167484;	65 0.131681 0.170191;	54 0.133192 0.170071;	60 0.133444 0.167484;	51 0.133527 0.170071;	
130000;	0.167484;	63 0.131681 0.170191;	58 0.132279 0.170071;	54 0.133192 0.170071;	55 0.133202 0.202708;	
132500;	0.167484;	59 0.130737 0.174162;	62 0.131681 0.170191;	58 0.132279 0.170071;	59 0.132434 0.202708;	
135000;	0.167484;	59 0.130737 0.174162;	62 0.131525 0.202708;	64 0.131616 0.167484;	62 0.131681 0.170191;	
137500;	0.167484;	55 0.127264 0.176667;	59 0.130737 0.174162;	62 0.131525 0.202708;	64 0.131616 0.167484;	
140000;	0.167484;	54 0.127264 0.176667;	57 0.130522 0.167484;	54 0.130737 0.202708;	62 0.131525 0.202708;	
142500;	0.167484;	54 0.127264 0.176667;	57 0.130522 0.167484;	54 0.130737 0.202708;	52 0.131173 0.202708;	
145000;	0.167484;	49 0.127264 0.176667;	59 0.128936 0.202708;	57 0.130522 0.167484;	60 0.130683 0.202708;	
147500;	0.167484;	47 0.127264 0.176667;	53 0.12742 0.167484;	49 0.128827 0.167484;	59 0.128936 0.202708;	
150000;	0.167484;	54 0.126812 0.174905;	47 0.127264 0.176667;	51 0.12742 0.202708;	48 0.128827 0.202708;	
152500;	0.167484;	53 0.126812 0.174905;	46 0.127264 0.202708;	51 0.12742 0.202708;	44 0.128496 0.202708;	
155000;	0.167484;	51 0.126812 0.174905;	56 0.127166 0.202708;	46 0.127264 0.202708;	51 0.12742 0.202708;	
157500;	0.167484;	49 0.126812 0.174905;	56 0.127166 0.202708;	45 0.127264 0.202708;	47 0.12742 0.202708;	
160000;	0.167484;	47 0.126812 0.174905;	51 0.127166 0.202708;	45 0.127264 0.202708;	47 0.12742 0.202708;	
162500;	0.167484;	46 0.126812 0.174905;	48 0.127166 0.202708;	45 0.127264 0.202708;	53 0.127344 0.202708;	
165000;	0.167484;	43 0.126812 0.174905;	48 0.127166 0.202708;	45 0.127264 0.202708;	49 0.127344 0.202708;	
167500;	0.167484;	43 0.126812 0.174905;	48 0.127166 0.202708;	44 0.127264 0.202708;	45 0.127344 0.202708;	
170000;	0.167484;	40 0.126812 0.174905;	45 0.127166 0.202708;	41 0.127264 0.202708;	45 0.127344 0.202708;	
172500;	0.167484;	48 0.126608 0.172622;	40 0.126812 0.174905;	44 0.127166 0.202708;	38 0.127264 0.202708;	
175000;	0.167484;	48 0.126608 0.172622;	40 0.126812 0.174905;	42 0.127166 0.202708;	38 0.127264 0.202708;	
177500;	0.167484;	43 0.126608 0.172622;	40 0.126812 0.174905;	40 0.127166 0.202708;	38 0.127264 0.202708;	
180000;	0.167484;	43 0.126608 0.172622;	40 0.126812 0.174905;	39 0.127166 0.202708;	38 0.127264 0.202708;	
182500;	0.167484;	41 0.126608 0.172622;	40 0.126812 0.174905;	37 0.127166 0.202708;	38 0.127264 0.202708;	
185000;	0.167484;	40 0.126608 0.172622;	52 0.126732 0.202708;	39 0.126812 0.202708;	37 0.127166 0.202708;	
187500;	0.167484;	39 0.126608 0.172622;	51 0.126732 0.202708;	39 0.126812 0.202708;	37 0.127166 0.202708;	
190000;	0.167484;	42 0.125837 0.182881;	50 0.125957 0.184801;	41 0.125988 0.172622;	47 0.126035 0.172622;	
192500;	0.146463;	45 0.116115 0.146463;	43 0.125825 0.184047;	42 0.125837 0.182881;	48 0.125863 0.202708;	
195000;	0.146463;	45 0.116115 0.146463;	45 0.125802 0.202708;	41 0.125825 0.202708;	42 0.125837 0.182881;	
197500;	0.146463;	45 0.116115 0.146463;	45 0.125802 0.202708;	41 0.125825 0.202708;	42 0.125837 0.182881;	
200000;	0.146463;	45 0.116115 0.146463;	45 0.125802 0.202708;	41 0.125825 0.202708;	42 0.125837 0.182881;	
202500;	0.135241;	46 0.110207 0.135241;	45 0.116115 0.146463;	53 0.116868 0.182881;	51 0.121014 0.182881;	
205000;	0.135241;	46 0.110207 0.135241;	49 0.114257 0.182881;	49 0.115945 0.182881;	45 0.116115 0.146463;	
207500;	0.135097;	48 0.105883 0.135097;	46 0.110207 0.135241;	49 0.114257 0.182881;	45 0.115006 0.182881;	
210000;	0.129715;	47 0.105265 0.129715;	48 0.105883 0.135097;	46 0.110098 0.182881;	52 0.110145 0.146463;	
212500;	0.129715;	52 0.103132 0.171935;	47 0.105265 0.129715;	48 0.105883 0.135097;	46 0.110098 0.182881;	
215000;	0.129715;	52 0.103132 0.171935;	50 0.103591 0.182881;	47 0.105265 0.129715;	53 0.105757 0.182881;	
217500;	0.122197;	49 0.100061 0.122197;	56 0.101261 0.127318;	52 0.103132 0.171935;	44 0.103591 0.182881;	
220000;	0.122197;	52 0.0989444 0.127751;	56 0.0993996 0.182881;	56 0.100053 0.182881;	44 0.100061 0.182881;	
222500;	0.122197;	52 0.0980399 0.127207;	50 0.0989444 0.182881;	56 0.0993996 0.182881;	56 0.100053 0.182881;	
225000;	0.122197;	47 0.0980399 0.127207;	50 0.0989444 0.182881;	56 0.0993996 0.182881;	56 0.100053 0.182881;	
227500;	0.119697;	55 0.0901993 0.119697;	47 0.0980399 0.127207;	46 0.0989444 0.182881;	54 0.0992531 0.182881;	
230000;	0.114126;	50 0.089146 0.114126;	55 0.0901993 0.119697;	57 0.0908382 0.182881;	54 0.0956191 0.182881;	
232500;	0.114126;	50 0.089146 0.114126;	55 0.0901993 0.119697;	49 0.0902896 0.182881;	57 0.0908382 0.182881;	
235000;	0.114126;	50 0.089146 0.114126;	59 0.0891521 0.182881;	47 0.0899317 0.182881;	50 0.0901993 0.182881;	
237500;	0.114126;	56 0.0882707 0.122312;	49 0.089146 0.114126;	59 0.0891521 0.182881;	47 0.0899317 0.182881;	
240000;	0.114126;	56 0.0882707 0.122312;	49 0.089146 0.114126;	59 0.0891521 0.182881;	47 0.0899317 0.182881;	
242500;	0.114126;	56 0.0882707 0.122312;	49 0.089146 0.114126;	59 0.0891521 0.182881;	47 0.0899317 0.182881;	
245000;	0.112913;	56 0.0854454 0.112913;	54 0.0882707 0.182881;	49 0.089146 0.114126;	59 0.0891521 0.182881;	
247500;	0.112913;	56 0.0854454 0.112913;	50 0.0867044 0.114126;	54 0.0882707 0.182881;	49 0.089146 0.114126;	
250000;	0.112913;	53 0.0854454 0.112913;	50 0.0867044 0.114126;	54 0.0882707 0.182881;	60 0.0884158 0.114126;	
Best: Len=56; Trn=0.0854454; Val=0.112913; Tst=0.112758;

2500;	0.205891;	15 0.203377 0.205891;	12 0.204526 0.206976;	16 0.205579 0.112913;	17 0.206687 0.112913;	
5000;	0.205891;	12 0.203377 0.205891;	26 0.204116 0.112913;	12 0.204526 0.206976;	16 0.205454 0.221729;	
7500;	0.195474;	23 0.196359 0.195474;	33 0.198497 0.195474;	17 0.199584 0.205891;	16 0.19969 0.205891;	
10000;	0.195474;	38 0.195927 0.195474;	23 0.196359 0.195474;	35 0.198142 0.112913;	31 0.198497 0.205891;	
12500;	0.195474;	25 0.195502 0.199997;	26 0.195927 0.195474;	26 0.196359 0.112913;	23 0.196359 0.195474;	
15000;	0.195474;	25 0.195502 0.199997;	31 0.195765 0.195474;	40 0.195927 0.112913;	26 0.195927 0.195474;	
17500;	0.195474;	25 0.195502 0.199997;	33 0.195511 0.112913;	41 0.195731 0.112913;	31 0.195765 0.195474;	
20000;	0.189476;	33 0.190883 0.189476;	45 0.192057 0.191396;	36 0.193946 0.195474;	45 0.194191 0.195474;	
22500;	0.186656;	45 0.182304 0.186656;	33 0.190883 0.189476;	42 0.192057 0.112913;	44 0.192457 0.112913;	
25000;	0.186656;	45 0.182304 0.186656;	37 0.190302 0.112913;	33 0.190883 0.189476;	42 0.192057 0.112913;	
27500;	0.16256;	47 0.168988 0.16256;	40 0.180203 0.181909;	45 0.182304 0.186656;	48 0.188122 0.195474;	
30000;	0.16256;	47 0.168988 0.16256;	40 0.180203 0.181909;	45 0.182304 0.186656;	62 0.186964 0.189476;	
32500;	0.16256;	47 0.168988 0.16256;	40 0.180203 0.181909;	50 0.181055 0.189476;	45 0.182304 0.186656;	
35000;	0.16256;	49 0.168315 0.16256;	47 0.168988 0.16256;	46 0.169675 0.112913;	49 0.17685 0.195474;	
37500;	0.157434;	50 0.160702 0.157434;	49 0.164247 0.16256;	51 0.164289 0.16256;	50 0.167836 0.16256;	
40000;	0.156661;	47 0.155882 0.156661;	48 0.156616 0.16256;	56 0.160007 0.186656;	50 0.160702 0.157434;	
42500;	0.156661;	46 0.155882 0.156661;	44 0.156575 0.186656;	48 0.156616 0.16256;	49 0.159988 0.112913;	
45000;	0.156661;	42 0.155882 0.156661;	48 0.155929 0.112913;	44 0.156575 0.186656;	48 0.156616 0.16256;	
47500;	0.156661;	41 0.155882 0.156661;	47 0.155929 0.16256;	44 0.156575 0.186656;	48 0.156616 0.16256;	
50000;	0.156661;	41 0.155882 0.156661;	40 0.155929 0.16256;	44 0.156575 0.186656;	48 0.156616 0.16256;	
52500;	0.156661;	39 0.155882 0.156661;	40 0.155929 0.16256;	43 0.156575 0.16256;	42 0.156616 0.16256;	
55000;	0.156661;	38 0.155882 0.156661;	40 0.155929 0.16256;	46 0.156575 0.16256;	40 0.156575 0.16256;	
57500;	0.156661;	36 0.155882 0.156661;	38 0.155929 0.16256;	46 0.156575 0.16256;	40 0.156575 0.16256;	
60000;	0.156661;	36 0.155882 0.156661;	36 0.155929 0.16256;	42 0.155952 0.16256;	50 0.15651 0.16256;	
62500;	0.156661;	47 0.155387 0.156661;	36 0.155882 0.156661;	36 0.155929 0.16256;	46 0.155929 0.16256;	
65000;	0.156661;	47 0.155387 0.156661;	36 0.155882 0.156661;	35 0.155929 0.16256;	46 0.155929 0.16256;	
67500;	0.156661;	47 0.155387 0.156661;	44 0.155859 0.16256;	35 0.155882 0.16256;	46 0.155882 0.16256;	
70000;	0.156661;	47 0.155387 0.156661;	48 0.155701 0.16256;	44 0.155859 0.16256;	35 0.155882 0.16256;	
72500;	0.156661;	51 0.151788 0.234341;	41 0.152993 0.156661;	50 0.15516 0.156661;	52 0.155207 0.16256;	
75000;	0.156661;	52 0.150178 0.234821;	49 0.151788 0.16256;	51 0.151818 0.156661;	52 0.151818 0.16256;	
77500;	0.156661;	52 0.149684 0.234821;	41 0.150178 0.16256;	46 0.151788 0.16256;	52 0.151788 0.16256;	
80000;	0.156661;	52 0.149684 0.234821;	41 0.150178 0.16256;	55 0.151296 0.16256;	46 0.151788 0.16256;	
82500;	0.156661;	53 0.147657 0.231675;	48 0.149615 0.231675;	49 0.149684 0.234821;	41 0.150178 0.16256;	
85000;	0.156661;	52 0.140665 0.228772;	53 0.143506 0.231675;	55 0.144771 0.16256;	49 0.145475 0.16256;	
87500;	0.156661;	52 0.139943 0.228772;	48 0.140665 0.16256;	55 0.143465 0.231675;	58 0.143465 0.16256;	
90000;	0.156661;	52 0.139943 0.228772;	45 0.140665 0.231675;	55 0.143465 0.231675;	46 0.143465 0.231675;	
92500;	0.156661;	52 0.139943 0.228772;	53 0.140665 0.231675;	45 0.140665 0.231675;	55 0.143465 0.231675;	
95000;	0.156661;	52 0.139943 0.228772;	45 0.140665 0.231675;	45 0.140665 0.231675;	49 0.143465 0.231675;	
97500;	0.156661;	50 0.139943 0.228772;	40 0.140665 0.231675;	44 0.140665 0.231675;	51 0.142748 0.231675;	
100000;	0.156661;	49 0.139943 0.228772;	39 0.140665 0.231675;	44 0.140665 0.231675;	51 0.142748 0.231675;	
102500;	0.156661;	49 0.139448 0.228772;	47 0.139943 0.231675;	39 0.140665 0.231675;	42 0.140665 0.231675;	
105000;	0.156661;	49 0.139448 0.228772;	46 0.139943 0.231675;	39 0.140665 0.231675;	42 0.140665 0.231675;	
107500;	0.156661;	49 0.139448 0.228772;	59 0.139522 0.231675;	46 0.139943 0.231675;	45 0.139943 0.231675;	
110000;	0.156661;	55 0.139322 0.228772;	49 0.139448 0.228772;	57 0.139449 0.231675;	59 0.139522 0.231675;	
112500;	0.156661;	54 0.133649 0.330827;	55 0.136048 0.330827;	43 0.139322 0.228772;	49 0.139448 0.228772;	
115000;	0.156661;	54 0.133649 0.330827;	51 0.134371 0.231675;	52 0.135327 0.228772;	47 0.136048 0.231675;	
117500;	0.156661;	53 0.133649 0.330827;	48 0.134371 0.231675;	52 0.135327 0.228772;	57 0.135504 0.231675;	
120000;	0.156661;	52 0.133649 0.330827;	56 0.133877 0.228772;	63 0.134371 0.228772;	44 0.134371 0.228772;	
122500;	0.156661;	61 0.133523 0.333795;	50 0.133649 0.330827;	54 0.133816 0.228772;	56 0.133877 0.228772;	
125000;	0.156661;	61 0.133523 0.333795;	56 0.133558 0.228772;	46 0.133649 0.228772;	54 0.133816 0.228772;	
127500;	0.156661;	66 0.133028 0.330827;	59 0.133188 0.235064;	58 0.133523 0.333795;	56 0.133558 0.228772;	
130000;	0.156661;	66 0.133028 0.330827;	55 0.13303 0.228772;	59 0.133188 0.235064;	58 0.133523 0.333795;	
132500;	0.156661;	61 0.132814 0.231903;	64 0.132896 0.333795;	66 0.132923 0.333795;	57 0.133028 0.230262;	
135000;	0.156661;	61 0.132814 0.231903;	64 0.132896 0.333795;	62 0.132923 0.235064;	57 0.133028 0.230262;	
137500;	0.156661;	54 0.132308 0.233974;	54 0.132538 0.228772;	53 0.132814 0.231903;	64 0.132896 0.333795;	
140000;	0.156661;	63 0.130169 0.331943;	56 0.131817 0.228772;	56 0.131888 0.231903;	62 0.131904 0.333795;	
142500;	0.156661;	63 0.130169 0.331943;	62 0.130533 0.333795;	56 0.131817 0.228772;	56 0.131888 0.231903;	
145000;	0.156661;	63 0.130169 0.331943;	62 0.130533 0.333795;	58 0.131222 0.230262;	62 0.131784 0.231903;	
147500;	0.156661;	63 0.130169 0.331943;	62 0.130533 0.333795;	58 0.131222 0.230262;	64 0.13164 0.333795;	
150000;	0.156661;	63 0.130169 0.331943;	63 0.130204 0.333795;	62 0.130533 0.333795;	58 0.131222 0.230262;	
152500;	0.156661;	63 0.130169 0.331943;	63 0.130204 0.333795;	62 0.130533 0.333795;	61 0.13105 0.233974;	
155000;	0.156661;	67 0.129195 0.333795;	63 0.130169 0.331943;	68 0.130183 0.230262;	63 0.130204 0.333795;	
157500;	0.156661;	63 0.127498 0.330827;	67 0.129195 0.333795;	63 0.130169 0.331943;	68 0.130183 0.230262;	
160000;	0.156661;	62 0.124681 0.316853;	63 0.127498 0.330827;	67 0.129195 0.333795;	63 0.130169 0.331943;	
162500;	0.156661;	62 0.124681 0.316853;	60 0.125625 0.331943;	59 0.126892 0.333795;	63 0.127498 0.330827;	
165000;	0.156661;	62 0.124681 0.316853;	60 0.125625 0.331943;	57 0.126761 0.228772;	59 0.126892 0.333795;	
167500;	0.156661;	65 0.122046 0.316999;	60 0.124468 0.230262;	52 0.124573 0.210288;	62 0.124681 0.316853;	
170000;	0.156661;	64 0.114547 0.307269;	65 0.122046 0.316999;	60 0.124468 0.230262;	52 0.124573 0.210288;	
172500;	0.156661;	64 0.114547 0.307269;	62 0.116533 0.316853;	67 0.120287 0.230262;	61 0.121821 0.230262;	
175000;	0.156661;	62 0.113524 0.307269;	64 0.114547 0.307269;	67 0.114818 0.230262;	62 0.116533 0.316853;	
177500;	0.156661;	62 0.113524 0.307269;	64 0.114547 0.307269;	67 0.114818 0.230262;	71 0.11554 0.316853;	
180000;	0.156661;	72 0.113336 0.30641;	62 0.113524 0.307269;	63 0.114547 0.230262;	68 0.114818 0.231903;	
182500;	0.156661;	72 0.113336 0.30641;	62 0.113524 0.307269;	66 0.113562 0.316853;	64 0.113578 0.231903;	
185000;	0.156661;	73 0.110577 0.313083;	65 0.113336 0.30641;	66 0.11343 0.231903;	62 0.113524 0.307269;	
187500;	0.156661;	73 0.110577 0.313083;	65 0.112347 0.230262;	71 0.112615 0.231903;	72 0.112968 0.230262;	
190000;	0.156661;	73 0.110577 0.313083;	64 0.112277 0.316853;	65 0.112347 0.230262;	71 0.112615 0.231903;	
192500;	0.156661;	73 0.110577 0.313083;	64 0.112277 0.316853;	63 0.112347 0.307269;	69 0.112615 0.231903;	
195000;	0.156661;	64 0.109165 0.304942;	73 0.110577 0.313083;	73 0.111196 0.231903;	64 0.112277 0.316853;	
197500;	0.156661;	69 0.107944 0.312639;	64 0.109165 0.304942;	70 0.109529 0.313083;	69 0.109891 0.231903;	
200000;	0.156661;	69 0.107944 0.312639;	64 0.109165 0.304942;	70 0.109529 0.313083;	70 0.109573 0.231903;	
202500;	0.156661;	63 0.107891 0.311534;	69 0.107944 0.312639;	65 0.108092 0.231903;	64 0.109165 0.304942;	
205000;	0.156661;	69 0.106669 0.184109;	63 0.107891 0.311534;	69 0.107944 0.312639;	71 0.10807 0.230262;	
207500;	0.156661;	71 0.105651 0.297226;	69 0.106669 0.184109;	63 0.107891 0.311534;	69 0.107944 0.312639;	
210000;	0.156661;	63 0.105546 0.298409;	71 0.105651 0.297226;	69 0.106669 0.184109;	65 0.107799 0.313083;	
212500;	0.156661;	68 0.105121 0.295306;	70 0.105145 0.231903;	63 0.105546 0.298409;	71 0.105651 0.297226;	
215000;	0.156661;	66 0.102193 0.177598;	71 0.102973 0.298;	63 0.103622 0.297226;	68 0.105121 0.295306;	
217500;	0.156661;	66 0.102193 0.177598;	71 0.102973 0.298;	68 0.103019 0.295306;	72 0.103072 0.297226;	
220000;	0.156661;	68 0.102185 0.297125;	66 0.102193 0.177598;	70 0.102239 0.295306;	75 0.10225 0.295306;	
222500;	0.156661;	66 0.102185 0.297125;	63 0.102193 0.295306;	63 0.102231 0.231903;	70 0.102239 0.295306;	
225000;	0.156661;	62 0.102185 0.297095;	63 0.102193 0.295306;	63 0.102231 0.231903;	70 0.102239 0.295306;	
227500;	0.156661;	62 0.102185 0.297095;	63 0.102193 0.295306;	67 0.102201 0.295306;	63 0.102231 0.231903;	
230000;	0.156661;	62 0.102185 0.297095;	62 0.102193 0.231903;	64 0.102201 0.295306;	63 0.102231 0.231903;	
232500;	0.156661;	68 0.102097 0.297031;	62 0.102185 0.297095;	61 0.102193 0.231903;	63 0.102201 0.231903;	
235000;	0.156661;	62 0.102097 0.297031;	62 0.102185 0.297095;	57 0.102193 0.295306;	58 0.102201 0.295306;	
237500;	0.156661;	59 0.102097 0.297031;	68 0.102105 0.295306;	59 0.102185 0.295306;	57 0.102193 0.295306;	
240000;	0.156661;	59 0.102097 0.297031;	68 0.102105 0.295306;	59 0.102185 0.295306;	53 0.102193 0.295306;	
242500;	0.156661;	58 0.102097 0.298797;	62 0.102105 0.295306;	67 0.102156 0.295306;	57 0.102185 0.295306;	
245000;	0.156661;	56 0.102097 0.298797;	62 0.102105 0.295306;	61 0.102122 0.295306;	62 0.102156 0.295306;	
247500;	0.156661;	56 0.102097 0.298797;	60 0.102105 0.295306;	59 0.102122 0.295306;	62 0.102156 0.295306;	
250000;	0.156661;	54 0.102097 0.297031;	52 0.102105 0.295306;	59 0.102122 0.295306;	63 0.102155 0.295306;	
Best: Len=48; Trn=0.155882; Val=0.156661; Tst=0.155819;

2500;	0.205764;	15 0.205587 0.205764;	10 0.206396 0.206753;	15 0.21072 0.295306;	24 0.212282 0.221729;	
5000;	0.205764;	19 0.20242 0.206152;	15 0.205587 0.205764;	27 0.205851 0.219508;	10 0.206396 0.206753;	
7500;	0.205764;	19 0.20242 0.206152;	16 0.202621 0.206753;	24 0.203423 0.205764;	16 0.203426 0.219508;	
10000;	0.205764;	26 0.201952 0.206464;	26 0.202357 0.207088;	19 0.20242 0.206152;	16 0.202621 0.206753;	
12500;	0.204528;	26 0.200507 0.204528;	38 0.201641 0.295306;	26 0.201952 0.206464;	26 0.202357 0.207088;	
15000;	0.204528;	26 0.200507 0.204528;	33 0.20123 0.206753;	32 0.201382 0.205764;	31 0.20146 0.206464;	
17500;	0.204528;	26 0.200507 0.204528;	33 0.20123 0.206753;	32 0.201382 0.205764;	31 0.20146 0.206464;	
20000;	0.204528;	27 0.200387 0.205835;	26 0.200507 0.204528;	33 0.20123 0.206753;	33 0.201276 0.295306;	
22500;	0.204528;	27 0.200387 0.205835;	26 0.200507 0.204528;	36 0.200798 0.207088;	35 0.201091 0.295306;	
25000;	0.199628;	36 0.193171 0.204477;	46 0.199144 0.199628;	32 0.199852 0.201417;	32 0.200387 0.205835;	
27500;	0.199628;	34 0.190303 0.204952;	36 0.193171 0.204477;	34 0.198522 0.204528;	46 0.199144 0.199628;	
30000;	0.199628;	34 0.190303 0.204952;	36 0.1918 0.206152;	36 0.193171 0.204477;	38 0.195907 0.201417;	
32500;	0.164238;	49 0.184668 0.164238;	34 0.190303 0.204952;	36 0.1918 0.206152;	36 0.193171 0.204477;	
35000;	0.164238;	34 0.182314 0.169614;	49 0.184668 0.164238;	38 0.187472 0.201417;	39 0.189582 0.205764;	
37500;	0.164238;	46 0.17233 0.200454;	44 0.181674 0.164238;	34 0.182314 0.169614;	43 0.18279 0.201417;	
40000;	0.164238;	51 0.16432 0.171724;	44 0.165818 0.253686;	40 0.168528 0.200454;	49 0.171156 0.197101;	
42500;	0.164238;	53 0.157589 0.17271;	49 0.160863 0.22316;	51 0.16432 0.171724;	51 0.165322 0.197101;	
45000;	0.164238;	53 0.157589 0.17271;	49 0.160863 0.22316;	53 0.16111 0.253686;	55 0.162853 0.205835;	
47500;	0.164238;	44 0.15533 0.177975;	58 0.15559 0.220196;	50 0.157589 0.253686;	46 0.160234 0.200454;	
